Filename,Frame,Time (mins),Period,Period time (mins),length.mm,Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Date,Time,habitat_type,complexity,current_speed,temperature,left_camera,right_camera,Family,Genus,Species,Code,Number,Stage,Activity,Comment
Left (5).MP4,18809,80.997,60min,53.1809,100.274,5.406,3.211,1584.954,34.317,48.962,12.022,-876.064,-175.862,-1309.07,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,Hexagrammidae,Oxylebius,pictus,167118,1,AD,Passing,
Left (2).MP4,22285,30.0272,,,,1.371,0.223,1038.72,2.867,,,-21.914,-37.816,-1037.8,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,,,,,1,AD,Passing,Tape1_start
Left (2).MP4,22375,30.0773,,,,1.123,0.211,912.185,12.524,,,-185.432,-60.885,-891.061,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,,,,,1,AD,Passing,Tape1_end
Left (2).MP4,22505,30.1496,,,,1.38,0.199,1043.14,2.461,,,-20.143,-30.668,-1042.494,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,,,,,1,AD,Passing,Tape2_start
Left (2).MP4,22595,30.1996,,,,1.503,0.204,1086.945,10.992,,,-172.51,-105.312,-1067.988,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,,,,,1,AD,Passing,Tape2_end
Left (2).MP4,22709,30.263,,,,1.369,0.166,1037.887,1.56,,,-7.555,-17.934,-1037.705,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,,,,,1,AD,Passing,Tape3_start
Left (2).MP4,22799,30.3131,,,,1.321,0.094,1005.045,13.135,,,-220.933,-49.119,-979.23,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,,,,,1,AD,Passing,Tape3_end
Left (2).MP4,29861,34.2403,60min,1.3847,287.817,2.402,0.148,1155.966,12.615,24.372,5.966,-247.95,-47.537,-1128.06,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,
Left (3).MP4,2111,36.4425,60min,3.5869,136.804,1.476,0.471,969.575,11.677,20.985,10.21,-93.643,-172.46,-949.507,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,ruberrimus,166740,1,J,Passing,
Left (3).MP4,8872,40.2024,60min,7.3468,141.494,5.731,2.725,1788.605,23.05,26.886,3.137,-613.336,337.991,-1645.81,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,Embiotocidae,Rhacochilus,vacca,169754,20,AD,Passing,
Left (3).MP4,11416,41.6171,60min,8.7615,658.464,89.511,9.548,6200.02,26.945,68.083,34.795,-1983.054,1990.12,-5526.949,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,Hexagrammidae,Ophiodon,elongatus,167116,1,AD,Passing,
Left (3).MP4,11569,41.7022,60min,8.8466,98.289,2.534,1.192,1006.852,34.908,79.079,6.081,-516.622,-255.129,-825.688,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,Gobiidae,Rhinogobiops,nicholsii,636877,5,AD,Passing,
Left (5).MP4,16717,79.8336,60min,46.978,64.586,8.264,1.842,3017.668,26.246,9.226,2.674,-700.632,1135.786,-2706.552,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,Embiotocidae,Cymatogaster,aggregata,169739,300,AD,Passing,
Left (5).MP4,16804,79.882,60min,47.0264,94.031,1.645,3.518,1494.047,21.348,5.021,10.491,-157.725,520.515,-1391.533,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,Aulorhynchidae,Aulorhynchus,flavidus,166404,50,AD,Passing,
Left (6).MP4,8798,93.0641,,,304.765,1.088,0.845,926.365,14.108,7.852,9.646,-132.942,-182.525,-898.422,christiebuoy_1,Fiona Francis,20,,19-10-01,11:29,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,
Left (2).MP4,10991,23.7465,,,,0.878,1.149,784.313,3.952,,,0.633,-47.04,-782.901,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,,,,,1,AD,Passing,Tape1_start
Left (2).MP4,11081,23.7966,,,,0.985,0.077,839.947,13.39,,,-128.61,-138.608,-818.388,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,,,,,1,AD,Passing,Tape1_end
Left (2).MP4,11265,23.8989,,,,1.03,0.684,869.237,3.348,,,-4.488,-42.795,-868.171,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,,,,,1,AD,Passing,Tape2_start
Left (2).MP4,11355,23.9489,,,,0.847,1.071,764.231,12.435,,,-14.051,-157.271,-747.741,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,,,,,1,AD,Passing,Tape2_end
Left (2).MP4,13973,25.4048,,,256.937,4.506,2,1703.125,26.331,21.459,15.413,-605.104,452.233,-1526.423,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,13973,25.4048,,,222.071,4.3,0.555,2030.544,24.104,9.654,26.781,-472.817,681.268,-1853.49,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,13973,25.4048,,,280.476,15.822,0.648,2410.766,16.116,56.891,17.225,-287.463,604.292,-2316.028,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
