Surface analysis

Generated: Tuesday 06 July 2021 18:06:48

						
Left filename	Left2+2m.jpg					
Left frame number	      0					
Plane definition points	128					
RMS plane fit (mm)	41.703					
X plane direction (unit vector)	[0.9930, -0.0000, 0.1178]					
Y plane direction (unit vector)	[0.0032, 0.9996, -0.0273]					
Z plane direction (unit vector)	[-0.1177, 0.0275, 0.9927]					
Plane shift (mm)	[-1365.5418, -780.1992, -2029.8057]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
502.550	1551.698	91.824	6.128	316.615	16787.256	16883.728
1400.558	1400.732	146.529	9.848	91.254	11884.535	12062.273
827.815	1022.486	176.555	19.018	277.864	14586.992	15429.168
863.147	844.936	170.659	14.930	218.031	10284.283	10643.587
1469.736	1421.450	136.537	6.219	97.129	8240.074	8288.853
1516.393	1510.130	129.030	8.577	66.071	6936.756	7015.207
1615.506	1313.433	127.767	3.174	78.896	34961.764	35015.471
1740.895	1415.357	119.332	3.397	75.903	71360.417	71486.005
1650.983	1550.163	118.763	8.890	354.711	12470.310	12621.934
1304.809	787.506	137.259	6.887	142.155	55713.335	56118.256
1353.785	662.431	137.630	15.541	350.810	24555.107	25486.964
1165.950	832.973	142.525	4.903	263.909	31235.720	31350.455
1133.121	1264.530	217.319	19.364	76.224	8738.883	9262.859
1629.914	1189.959	118.136	8.757	180.453	37930.291	38377.623
1914.666	1455.295	153.845	30.568	266.660	46419.129	53911.469
1740.704	1089.164	98.502	13.746	174.412	21334.891	21963.954
2016.506	1277.794	153.288	15.261	193.467	63134.498	65442.193
						
Total plan area (mm^2)	3090164.893					
Total 3D area (mm^2)	3347559.426					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 240.398 (mm)			
